group,title,coding
politics_filtered_nov19,Trump campaign dismisses last remaining lawsuit in Michigan as voter fraud claims widely debunked,
conservative_filtered_nov20,'We no longer have' an 'honest press' -- Commentator: Media 'casually compares Trump to Hitler' because it's 'what they believe',
politics_filtered_nov20,"Trump's extrajudicial attempt to 'stay in office' would have 'terrified most of the founders,' historian says",
politics_filtered_nov19,Georgia confirms Biden victory and finds no widespread fraud after statewide audit,
politics_filtered_nov20,Supreme Court cancels arguments over Trump bid to withhold parts of Russia probe,
politics_filtered_nov21,Trump tries to drum out GOP election officials who won’t play his games — Georgia Secretary of State Brad Raffensperger's family has received threats and he expects a primary challenge in 2022,
politics_filtered_nov20,Trump invites Michigan Republican leaders to meet him at White House as he attempts to overturn election results,
politics_filtered_nov21,Trump tweets about election results and skips session on pandemic during G20,
politics_filtered_nov20,"Trump lawyers filed a motion in Pennsylvania to clarify they only want to block the state from certifying results of the presidential elections, not any other races on the same ballot",
politics_filtered_nov20,White House Press Secretary Refuses to Acknowledge Outcome of Election in First Briefing Since Trump Lost,
politics_filtered_nov19,Judge tosses Republican bid to halt Arizona from certifying Biden election win,
politics_filtered_nov19,Donald Trump called Monica Palmer after Wayne County Board of Canvassers meeting,
politics_filtered_nov19,Trump’s team caught on hot mic discussing Giuliani’s hair dye ‘dripping down his face’,
politics_filtered_nov19,"There is 'no doubt' Joe Biden won Georgia, says Republican Secretary of State Brad Raffensperger",
politics_filtered_nov20,New York subpoenas Trump Organisation for details of consulting fees paid to Ivanka,
conservative_filtered_nov19,Joe Biden Holds Lead in Georgia After Hand Recount,
politics_filtered_nov20,Trump campaign dismisses last remaining lawsuit in Michigan as voter fraud claims widely debunked,
politics_filtered_nov20,People who know Rudy Giuliani are shocked by what he’s become. People who know Trump say he’s terrifed,
politics_filtered_nov20,Trump lawyers to avoid Michigan lawmaker meeting after COVID exposure,
politics_filtered_nov19,"Election Loser Trump Should Quit And ‘Not Be Embarrassing’, Czech President Says",
politics_filtered_nov21,Analysis: How Georgia proves Trump has no chance of winning,
politics_filtered_nov19,Trump announces ‘path to victory’ news conference by election legal team,
politics_filtered_nov21,Trump denies Georgia's results after hand recount; prompts concerns over January's Senate runoff,
politics_filtered_nov19,Trump lawyer falsely claims voting technology companies were created for changing election results,
politics_filtered_nov21,Op-Ed: Why Biden should look beyond the usual pool for his Cabinet appointments,
politics_filtered_nov20,Ivanka Trump called the New York investigations into the Trump Organization's finances 'harassment' and motivated by 'rage',
politics_filtered_nov19,Gay Trump supporter loses bid for congress,
politics_filtered_nov21,Judge throws out Trump bid to stop PA vote certification,
politics_filtered_nov21,"What to make of more than 70m Americans who voted for Trump? — As of today, 73,781,603 people voted for Trump, which amounts to 47.2 percent of the total votes counted.",
politics_filtered_nov20,Tucker Carlson: Trump lawyer 'got angry' when pressed for evidence of voter fraud,
politics_filtered_nov20,Fox News’ Guy Benson Nails GOP Hypocrisy In Supporting Trump’s Election Denial,
politics_filtered_nov20,Michigan Republican leader is meeting with Trump at White House to discuss coup,
politics_filtered_nov19,"Arizona's secretary of state is the latest election official to receive death threats, and she's ripping Trump and Republican leaders for their baseless claims of fraud",
politics_filtered_nov19,Americans are dying. Trump is threatening democracy. Where is Mike Pence?,
conservative_filtered_nov19,Biden vows there will be no national shutdown,
politics_filtered_nov19,Federal judge dismisses Trump campaign lawsuit seeking to halt Georgia election certification,
conservative_filtered_nov21,Trump lifts travel ban on Chad,
conservative_filtered_nov19,Georgia Recount Witnesses Saw Trump Votes Counted for Biden,
politics_filtered_nov21,Trump's legal team seemingly didn't notice its allegation of election fraud in Michigan is based on data from Minnesota,
conservative_filtered_nov19,Trump Announces a Press Conference and a ‘Viable Path to Victory’,
politics_filtered_nov20,"Biden wins Georgia after recount, 'numbers don't lie': Ga. election official",
politics_filtered_nov21,Michigan Democrats are taking a stand against Trump's campaign to steal the state's vote,
conservative_filtered_nov20,NRA Presents Biden With Prestigious 'Gun Salesman Of The Month' Award,
politics_filtered_nov20,Ivanka Trump calls legal inquiries into Trump business political ‘harassment’ — the president’s daughter was responding to a New York Times report saying investigations now include tax write-offs that appear to involve her,
conservative_filtered_nov20,Atlanta Mayor Suggests Trump Would ‘Eat His Own Children’ To Advance Agenda,
politics_filtered_nov21,Trump was pictured on his Virginia golf course during a coronavirus meeting for G20 leaders,
politics_filtered_nov19,Trump Has Abdicated in the Face of Disaster,
politics_filtered_nov21,Analysis | The Pa. county that explains how Biden won big while other Democrats struggled,
politics_filtered_nov20,"Trump's top aides are 'avoiding' his legal team to distance themselves from his attempt to subvert the election results, report says",
politics_filtered_nov21,'Like Politicizing Toilet Paper': Biden COVID Adviser Slams Politicization of Masks,
politics_filtered_nov21,Trump maintains unproven 'massive' fraud claim after meeting with Michigan lawmakers,
conservative_filtered_nov20,Biden Appoints ‘Anti-Free Speech’ Richard Stengel to Transition Team Media Post,
