,Unnamed: 0,coding,group,title,score
0,0,3.0,politics_filtered_nov19,Trump campaign dismisses last remaining lawsuit in Michigan as voter fraud claims widely debunked,54050
1,1,4.0,conservative_filtered_nov20,'We no longer have' an 'honest press' -- Commentator: Media 'casually compares Trump to Hitler' because it's 'what they believe',792
2,2,5.0,politics_filtered_nov20,"Trump's extrajudicial attempt to 'stay in office' would have 'terrified most of the founders,' historian says",4574
3,3,2.0,politics_filtered_nov19,Georgia confirms Biden victory and finds no widespread fraud after statewide audit,92
4,4,8.0,politics_filtered_nov20,Supreme Court cancels arguments over Trump bid to withhold parts of Russia probe,450
5,5,3.0,politics_filtered_nov21,Trump tries to drum out GOP election officials who won’t play his games — Georgia Secretary of State Brad Raffensperger's family has received threats and he expects a primary challenge in 2022,1842
6,6,3.0,politics_filtered_nov20,Trump invites Michigan Republican leaders to meet him at White House as he attempts to overturn election results,1171
7,7,6.0,politics_filtered_nov21,Trump tweets about election results and skips session on pandemic during G20,5886
8,8,3.0,politics_filtered_nov20,"Trump lawyers filed a motion in Pennsylvania to clarify they only want to block the state from certifying results of the presidential elections, not any other races on the same ballot",9427
9,9,3.0,politics_filtered_nov20,White House Press Secretary Refuses to Acknowledge Outcome of Election in First Briefing Since Trump Lost,75
10,10,2.0,politics_filtered_nov19,Judge tosses Republican bid to halt Arizona from certifying Biden election win,151
11,11,4.0,politics_filtered_nov19,Donald Trump called Monica Palmer after Wayne County Board of Canvassers meeting,1343
12,12,4.0,politics_filtered_nov19,Trump’s team caught on hot mic discussing Giuliani’s hair dye ‘dripping down his face’,430
13,13,2.0,politics_filtered_nov19,"There is 'no doubt' Joe Biden won Georgia, says Republican Secretary of State Brad Raffensperger",103
14,14,7.0,politics_filtered_nov20,New York subpoenas Trump Organisation for details of consulting fees paid to Ivanka,11073
15,15,2.0,conservative_filtered_nov19,Joe Biden Holds Lead in Georgia After Hand Recount,24
16,16,3.0,politics_filtered_nov20,Trump campaign dismisses last remaining lawsuit in Michigan as voter fraud claims widely debunked,56893
17,17,4.0,politics_filtered_nov20,People who know Rudy Giuliani are shocked by what he’s become. People who know Trump say he’s terrifed,394
18,18,6.0,politics_filtered_nov20,Trump lawyers to avoid Michigan lawmaker meeting after COVID exposure,111
19,19,8.0,politics_filtered_nov19,"Election Loser Trump Should Quit And ‘Not Be Embarrassing’, Czech President Says",521
20,20,4.0,politics_filtered_nov21,Analysis: How Georgia proves Trump has no chance of winning,196
21,21,4.0,politics_filtered_nov19,Trump announces ‘path to victory’ news conference by election legal team,390
22,22,3.0,politics_filtered_nov21,Trump denies Georgia's results after hand recount; prompts concerns over January's Senate runoff,26
23,23,3.0,politics_filtered_nov19,Trump lawyer falsely claims voting technology companies were created for changing election results,103
24,24,5.0,politics_filtered_nov21,Op-Ed: Why Biden should look beyond the usual pool for his Cabinet appointments,36
25,25,7.0,politics_filtered_nov20,Ivanka Trump called the New York investigations into the Trump Organization's finances 'harassment' and motivated by 'rage',230
26,26,4.0,politics_filtered_nov19,Gay Trump supporter loses bid for congress,191
27,27,3.0,politics_filtered_nov21,Judge throws out Trump bid to stop PA vote certification,14
28,28,5.0,politics_filtered_nov21,"What to make of more than 70m Americans who voted for Trump? — As of today, 73,781,603 people voted for Trump, which amounts to 47.2 percent of the total votes counted.",96
29,29,7.0,politics_filtered_nov20,Tucker Carlson: Trump lawyer 'got angry' when pressed for evidence of voter fraud,3629
30,30,4.0,politics_filtered_nov20,Fox News’ Guy Benson Nails GOP Hypocrisy In Supporting Trump’s Election Denial,135
31,31,3.0,politics_filtered_nov20,Michigan Republican leader is meeting with Trump at White House to discuss coup,4605
32,32,3.0,politics_filtered_nov19,"Arizona's secretary of state is the latest election official to receive death threats, and she's ripping Trump and Republican leaders for their baseless claims of fraud",8417
33,33,5.0,politics_filtered_nov19,Americans are dying. Trump is threatening democracy. Where is Mike Pence?,62
34,34,6.0,conservative_filtered_nov19,Biden vows there will be no national shutdown,36
35,35,3.0,politics_filtered_nov19,Federal judge dismisses Trump campaign lawsuit seeking to halt Georgia election certification,87
36,36,8.0,conservative_filtered_nov21,Trump lifts travel ban on Chad,26
37,37,2.0,conservative_filtered_nov19,Georgia Recount Witnesses Saw Trump Votes Counted for Biden,106
38,38,7.0,politics_filtered_nov21,Trump's legal team seemingly didn't notice its allegation of election fraud in Michigan is based on data from Minnesota,12057
39,39,4.0,conservative_filtered_nov19,Trump Announces a Press Conference and a ‘Viable Path to Victory’,161
40,40,2.0,politics_filtered_nov20,"Biden wins Georgia after recount, 'numbers don't lie': Ga. election official",1362
41,41,3.0,politics_filtered_nov21,Michigan Democrats are taking a stand against Trump's campaign to steal the state's vote,338
42,42,5.0,conservative_filtered_nov20,NRA Presents Biden With Prestigious 'Gun Salesman Of The Month' Award,508
43,43,7.0,politics_filtered_nov20,Ivanka Trump calls legal inquiries into Trump business political ‘harassment’ — the president’s daughter was responding to a New York Times report saying investigations now include tax write-offs that appear to involve her,5324
44,44,4.0,conservative_filtered_nov20,Atlanta Mayor Suggests Trump Would ‘Eat His Own Children’ To Advance Agenda,32
45,45,6.0,politics_filtered_nov21,Trump was pictured on his Virginia golf course during a coronavirus meeting for G20 leaders,3199
46,46,4.0,politics_filtered_nov19,Trump Has Abdicated in the Face of Disaster,1696
47,47,4.0,politics_filtered_nov21,Analysis | The Pa. county that explains how Biden won big while other Democrats struggled,33
48,48,3.0,politics_filtered_nov20,"Trump's top aides are 'avoiding' his legal team to distance themselves from his attempt to subvert the election results, report says",390
49,49,6.0,politics_filtered_nov21,'Like Politicizing Toilet Paper': Biden COVID Adviser Slams Politicization of Masks,35
50,50,3.0,politics_filtered_nov21,Trump maintains unproven 'massive' fraud claim after meeting with Michigan lawmakers,103
51,51,5.0,conservative_filtered_nov20,Biden Appoints ‘Anti-Free Speech’ Richard Stengel to Transition Team Media Post,17
52,52,3.0,politics_filtered_nov20,Michigan State senator met by protestors as he arrives for meeting with Trump,393
53,53,4.0,politics_filtered_nov19,"Giuliani, flailing, says Venezuela, Clinton and Soros hatched 'centralized plan' to steal election for Biden",315
54,54,4.0,politics_filtered_nov20,Conservative media has stayed devoted to Trump’s bogus claims of victory — but cracks are starting to show,95
55,55,2.0,politics_filtered_nov20,"Georgia certifies election results, making Biden win official",228
56,56,3.0,conservative_filtered_nov20,Trump campaign lawyer under protection following ‘threats of harm’,876
57,57,3.0,politics_filtered_nov20,Tucker Carlson calls out Trump's election lawyer for refusing to show evidence supporting the president's baseless voter fraud claims,563
58,58,4.0,politics_filtered_nov20,Trump's emotional state is 'quite fragile' after election loss,3194
59,59,5.0,politics_filtered_nov20,Trump Has Appointed 2 White Nationalists To Government Roles Since Losing The Election,2603
60,60,3.0,politics_filtered_nov19,"Pro-Biden Republican group releases video accusing GOP Senator Loeffler of ""craven corruption""",4122
61,61,3.0,politics_filtered_nov20,"GOP Sens. Romney and Sasse condemn Trump's election challenges, ""We are a nation of laws, not tweets""",3333
62,62,,politics_filtered_nov21,"Trump lawyers filed a motion in Pennsylvania to clarify they only want to block the state from certifying results of the presidential elections, not any other races on the same ballot",13699
63,63,5.0,politics_filtered_nov20,House Democrats push Biden to pick Haaland as next Interior secretary,89
64,64,,conservative_filtered_nov20,NRA Presents Biden With Prestigious 'Gun Salesman Of The Month' Award,65
65,65,1.0,politics_filtered_nov19,Trump May Need to Be Impeached and Removed Before Inauguration Day,50247
66,66,6.0,conservative_filtered_nov20,"Biden’s COVID Plan: Close The Economy, Open The Border",27
67,67,3.0,politics_filtered_nov21,"Trump’s Pennsylvania Suit is ‘Incoherent Conspiracy,’ Voters Say",1103
68,68,1.0,politics_filtered_nov21,Twitter to hand over @POTUS account to Biden on January 20,95
69,69,4.0,politics_filtered_nov21,Detroit asks judge to sanction Trump campaign for spreading 'disinformation',7239
70,70,4.0,politics_filtered_nov20,Senate GOP Shatters 123-Year Tradition to Approve Even More Trump Judges,1456
71,71,3.0,politics_filtered_nov20,"As Trump Refuses To Concede, Some South Americans In Houston Are Reminded Of Home",92
72,72,3.0,conservative_filtered_nov21,Watch: Sidney Powell – Millions of DEAD People Voted! 7 Million Votes STOLEN From Trump!,53
73,73,4.0,politics_filtered_nov19,Biden condemns Trump as one of the 'most irresponsible presidents in American history',74
74,74,5.0,conservative_filtered_nov20,Biden Says He Will Admit and Grant Permanent Status to Immigrants Who Go on Food Stamps and Medicaid,81
75,75,1.0,politics_filtered_nov21,President-elect Joe Biden Asks Public to Fund Transition as Trump Refuses to Concede,2057
76,76,3.0,politics_filtered_nov21,Trump’s press secretary Kayleigh McEnany heckled in briefing: ‘When will you admit you lost?’,44623
77,77,2.0,conservative_filtered_nov21,"Georgia certifies election results, making Biden win official",59
78,78,4.0,politics_filtered_nov21,Liz Cheney: Trump should respect ‘the sanctity of our electoral process’,141
79,79,3.0,politics_filtered_nov19,Trump personally called two Republicans who now oppose certifying Detroit-area votes,30035
80,80,,conservative_filtered_nov20,Trump Announces a Press Conference and a ‘Viable Path to Victory’,177
81,81,3.0,politics_filtered_nov21,"Justice Dept. meets Trump, Giuliani vote-fraud claims with silent skepticism",163
82,82,3.0,politics_filtered_nov21,Anger builds in Black community over Trump’s claims of voter fraud in big cities,1847
83,83,5.0,politics_filtered_nov21,Fareed Zakaria: Trump presidency is stomping on the face of democracy forever,663
84,84,4.0,conservative_filtered_nov19,Trump Campaign Holds Press Conference to Outline 'Viable Path to Victory',28
