,coding,group,title
0,3.0,politics_filtered_nov19,Trump campaign dismisses last remaining lawsuit in Michigan as voter fraud claims widely debunked
1,4.0,conservative_filtered_nov20,'We no longer have' an 'honest press' -- Commentator: Media 'casually compares Trump to Hitler' because it's 'what they believe'
2,5.0,politics_filtered_nov20,"Trump's extrajudicial attempt to 'stay in office' would have 'terrified most of the founders,' historian says"
3,2.0,politics_filtered_nov19,Georgia confirms Biden victory and finds no widespread fraud after statewide audit
4,8.0,politics_filtered_nov20,Supreme Court cancels arguments over Trump bid to withhold parts of Russia probe
5,3.0,politics_filtered_nov21,Trump tries to drum out GOP election officials who won’t play his games — Georgia Secretary of State Brad Raffensperger's family has received threats and he expects a primary challenge in 2022
6,3.0,politics_filtered_nov20,Trump invites Michigan Republican leaders to meet him at White House as he attempts to overturn election results
7,6.0,politics_filtered_nov21,Trump tweets about election results and skips session on pandemic during G20
8,3.0,politics_filtered_nov20,"Trump lawyers filed a motion in Pennsylvania to clarify they only want to block the state from certifying results of the presidential elections, not any other races on the same ballot"
9,3.0,politics_filtered_nov20,White House Press Secretary Refuses to Acknowledge Outcome of Election in First Briefing Since Trump Lost
10,2.0,politics_filtered_nov19,Judge tosses Republican bid to halt Arizona from certifying Biden election win
11,4.0,politics_filtered_nov19,Donald Trump called Monica Palmer after Wayne County Board of Canvassers meeting
12,4.0,politics_filtered_nov19,Trump’s team caught on hot mic discussing Giuliani’s hair dye ‘dripping down his face’
13,2.0,politics_filtered_nov19,"There is 'no doubt' Joe Biden won Georgia, says Republican Secretary of State Brad Raffensperger"
14,7.0,politics_filtered_nov20,New York subpoenas Trump Organisation for details of consulting fees paid to Ivanka
15,2.0,conservative_filtered_nov19,Joe Biden Holds Lead in Georgia After Hand Recount
16,3.0,politics_filtered_nov20,Trump campaign dismisses last remaining lawsuit in Michigan as voter fraud claims widely debunked
17,4.0,politics_filtered_nov20,People who know Rudy Giuliani are shocked by what he’s become. People who know Trump say he’s terrifed
18,6.0,politics_filtered_nov20,Trump lawyers to avoid Michigan lawmaker meeting after COVID exposure
19,8.0,politics_filtered_nov19,"Election Loser Trump Should Quit And ‘Not Be Embarrassing’, Czech President Says"
20,4.0,politics_filtered_nov21,Analysis: How Georgia proves Trump has no chance of winning
21,4.0,politics_filtered_nov19,Trump announces ‘path to victory’ news conference by election legal team
22,3.0,politics_filtered_nov21,Trump denies Georgia's results after hand recount; prompts concerns over January's Senate runoff
23,3.0,politics_filtered_nov19,Trump lawyer falsely claims voting technology companies were created for changing election results
24,5.0,politics_filtered_nov21,Op-Ed: Why Biden should look beyond the usual pool for his Cabinet appointments
25,7.0,politics_filtered_nov20,Ivanka Trump called the New York investigations into the Trump Organization's finances 'harassment' and motivated by 'rage'
26,4.0,politics_filtered_nov19,Gay Trump supporter loses bid for congress
27,3.0,politics_filtered_nov21,Judge throws out Trump bid to stop PA vote certification
28,5.0,politics_filtered_nov21,"What to make of more than 70m Americans who voted for Trump? — As of today, 73,781,603 people voted for Trump, which amounts to 47.2 percent of the total votes counted."
29,7.0,politics_filtered_nov20,Tucker Carlson: Trump lawyer 'got angry' when pressed for evidence of voter fraud
30,4.0,politics_filtered_nov20,Fox News’ Guy Benson Nails GOP Hypocrisy In Supporting Trump’s Election Denial
31,3.0,politics_filtered_nov20,Michigan Republican leader is meeting with Trump at White House to discuss coup
32,3.0,politics_filtered_nov19,"Arizona's secretary of state is the latest election official to receive death threats, and she's ripping Trump and Republican leaders for their baseless claims of fraud"
33,5.0,politics_filtered_nov19,Americans are dying. Trump is threatening democracy. Where is Mike Pence?
34,6.0,conservative_filtered_nov19,Biden vows there will be no national shutdown
35,3.0,politics_filtered_nov19,Federal judge dismisses Trump campaign lawsuit seeking to halt Georgia election certification
36,8.0,conservative_filtered_nov21,Trump lifts travel ban on Chad
37,2.0,conservative_filtered_nov19,Georgia Recount Witnesses Saw Trump Votes Counted for Biden
38,7.0,politics_filtered_nov21,Trump's legal team seemingly didn't notice its allegation of election fraud in Michigan is based on data from Minnesota
39,4.0,conservative_filtered_nov19,Trump Announces a Press Conference and a ‘Viable Path to Victory’
40,2.0,politics_filtered_nov20,"Biden wins Georgia after recount, 'numbers don't lie': Ga. election official"
41,3.0,politics_filtered_nov21,Michigan Democrats are taking a stand against Trump's campaign to steal the state's vote
42,5.0,conservative_filtered_nov20,NRA Presents Biden With Prestigious 'Gun Salesman Of The Month' Award
43,7.0,politics_filtered_nov20,Ivanka Trump calls legal inquiries into Trump business political ‘harassment’ — the president’s daughter was responding to a New York Times report saying investigations now include tax write-offs that appear to involve her
44,4.0,conservative_filtered_nov20,Atlanta Mayor Suggests Trump Would ‘Eat His Own Children’ To Advance Agenda
45,6.0,politics_filtered_nov21,Trump was pictured on his Virginia golf course during a coronavirus meeting for G20 leaders
46,4.0,politics_filtered_nov19,Trump Has Abdicated in the Face of Disaster
47,4.0,politics_filtered_nov21,Analysis | The Pa. county that explains how Biden won big while other Democrats struggled
48,3.0,politics_filtered_nov20,"Trump's top aides are 'avoiding' his legal team to distance themselves from his attempt to subvert the election results, report says"
49,6.0,politics_filtered_nov21,'Like Politicizing Toilet Paper': Biden COVID Adviser Slams Politicization of Masks
50,3.0,politics_filtered_nov21,Trump maintains unproven 'massive' fraud claim after meeting with Michigan lawmakers
51,5.0,conservative_filtered_nov20,Biden Appoints ‘Anti-Free Speech’ Richard Stengel to Transition Team Media Post
52,3.0,politics_filtered_nov20,Michigan State senator met by protestors as he arrives for meeting with Trump
53,4.0,politics_filtered_nov19,"Giuliani, flailing, says Venezuela, Clinton and Soros hatched 'centralized plan' to steal election for Biden"
54,4.0,politics_filtered_nov20,Conservative media has stayed devoted to Trump’s bogus claims of victory — but cracks are starting to show
55,2.0,politics_filtered_nov20,"Georgia certifies election results, making Biden win official"
56,3.0,conservative_filtered_nov20,Trump campaign lawyer under protection following ‘threats of harm’
57,3.0,politics_filtered_nov20,Tucker Carlson calls out Trump's election lawyer for refusing to show evidence supporting the president's baseless voter fraud claims
58,4.0,politics_filtered_nov20,Trump's emotional state is 'quite fragile' after election loss
59,5.0,politics_filtered_nov20,Trump Has Appointed 2 White Nationalists To Government Roles Since Losing The Election
60,3.0,politics_filtered_nov19,"Pro-Biden Republican group releases video accusing GOP Senator Loeffler of ""craven corruption"""
61,3.0,politics_filtered_nov20,"GOP Sens. Romney and Sasse condemn Trump's election challenges, ""We are a nation of laws, not tweets"""
62,,politics_filtered_nov21,"Trump lawyers filed a motion in Pennsylvania to clarify they only want to block the state from certifying results of the presidential elections, not any other races on the same ballot"
63,5.0,politics_filtered_nov20,House Democrats push Biden to pick Haaland as next Interior secretary
64,,conservative_filtered_nov20,NRA Presents Biden With Prestigious 'Gun Salesman Of The Month' Award
65,1.0,politics_filtered_nov19,Trump May Need to Be Impeached and Removed Before Inauguration Day
66,6.0,conservative_filtered_nov20,"Biden’s COVID Plan: Close The Economy, Open The Border"
67,3.0,politics_filtered_nov21,"Trump’s Pennsylvania Suit is ‘Incoherent Conspiracy,’ Voters Say"
68,1.0,politics_filtered_nov21,Twitter to hand over @POTUS account to Biden on January 20
69,4.0,politics_filtered_nov21,Detroit asks judge to sanction Trump campaign for spreading 'disinformation'
70,4.0,politics_filtered_nov20,Senate GOP Shatters 123-Year Tradition to Approve Even More Trump Judges
71,3.0,politics_filtered_nov20,"As Trump Refuses To Concede, Some South Americans In Houston Are Reminded Of Home"
72,3.0,conservative_filtered_nov21,Watch: Sidney Powell – Millions of DEAD People Voted! 7 Million Votes STOLEN From Trump!
73,4.0,politics_filtered_nov19,Biden condemns Trump as one of the 'most irresponsible presidents in American history'
74,5.0,conservative_filtered_nov20,Biden Says He Will Admit and Grant Permanent Status to Immigrants Who Go on Food Stamps and Medicaid
75,1.0,politics_filtered_nov21,President-elect Joe Biden Asks Public to Fund Transition as Trump Refuses to Concede
76,3.0,politics_filtered_nov21,Trump’s press secretary Kayleigh McEnany heckled in briefing: ‘When will you admit you lost?’
77,2.0,conservative_filtered_nov21,"Georgia certifies election results, making Biden win official"
78,4.0,politics_filtered_nov21,Liz Cheney: Trump should respect ‘the sanctity of our electoral process’
79,3.0,politics_filtered_nov19,Trump personally called two Republicans who now oppose certifying Detroit-area votes
80,,conservative_filtered_nov20,Trump Announces a Press Conference and a ‘Viable Path to Victory’
81,3.0,politics_filtered_nov21,"Justice Dept. meets Trump, Giuliani vote-fraud claims with silent skepticism"
82,3.0,politics_filtered_nov21,Anger builds in Black community over Trump’s claims of voter fraud in big cities
83,5.0,politics_filtered_nov21,Fareed Zakaria: Trump presidency is stomping on the face of democracy forever
84,4.0,conservative_filtered_nov19,Trump Campaign Holds Press Conference to Outline 'Viable Path to Victory'
85,4.0,conservative_filtered_nov19,Atlanta Mayor Suggests Trump Would ‘Eat His Own Children’ To Advance Agenda | The Daily Wire
86,5.0,politics_filtered_nov19,"If Biden Forgives First $20K of Student Loans, It Erases Debt For 55% of Borrowers"
87,2.0,politics_filtered_nov20,"Joe Biden wins presidential race in Georgia, defeating Trump."
88,5.0,politics_filtered_nov20,Ilhan Omar to President-elect Biden: Seize 'Once-in-a-Generation' Chance to End Disastrous US Foreign Policy
89,4.0,politics_filtered_nov19,Trump's legal adviser Jenna Ellis in 2016 called him an 'idiot' and said his supporters didn't care about 'facts or logic'
90,4.0,politics_filtered_nov21,"In 'Tremendous Rebuke' of Trump Appointee, Federal Judge Bars US Media Agency Head From Interfering in News Coverage | ""Michael Pack has repeatedly and intentionally violated the First Amendment rights of VOA journalists."""
91,4.0,politics_filtered_nov20,"Trump Thought His Secretive Sister Finally Joined MAGA Twitter. So We Called Her. -“I’m trying to delete it,” a woman who identified herself as Trump’s sister said. “I’m just annoyed about this whole thing.”"
92,3.0,politics_filtered_nov20,More GOP Senators Have COVID Than Have Acknowledged That Joe Biden Won
93,3.0,conservative_filtered_nov21,Trump Campaign Fact-Checks the Media: Georgia Has Not Certified Biden's Win
94,7.0,politics_filtered_nov20,"Once Out Of Office, Trump Faces Significant Legal Peril"
