group,title,coding
conservative_filtered_nov21,Lin Wood: President Trump won 400 electoral votes | One America News Network,
politics_filtered_nov20,AOC and Cori Bush Join Protest Outside DNC to Push Biden on Climate Action,
politics_filtered_nov19,Biden Maintains His Lead Over Trump as Georgia Recount Ends,
conservative_filtered_nov21,Trump Touts New Rules to 'End Global Free Loading' of Prescription Drugs,
politics_filtered_nov20,Trump Continues To Falsely Downplay COVID After US Death Toll Reaches 250k,
politics_filtered_nov21,Latinas for Trump founder unseated Florida Democrat after ‘shadow candidate’ with his surname entered the race,
conservative_filtered_nov20,9 Key Points from Trump Campaign Press Conference on Challenges to Election Results,
politics_filtered_nov21,Detroit voters sue Donald Trump over unsubstantiated claims of voter fraud,
politics_filtered_nov21,Bypassing McConnell: Democrats push Biden to aggressively use executive power,
politics_filtered_nov20,"Once Out Of Office, Trump Faces Significant Legal Peril",
conservative_filtered_nov21,Trump lawyers cited Minnesota counties in affidavit about Michigan: report,
conservative_filtered_nov20,Biden marks Transgender Day of Remembrance,
politics_filtered_nov19,Trump's firing of top election security official unsettles lawmakers,
politics_filtered_nov20,"Republican Party sparks backlash with ""Trump won by a landslide"" post: ""What happened to you?""",
politics_filtered_nov20,It’s time for everyone to pick a side: America or President Trump,
politics_filtered_nov20,Biden set to meet with democratic leaders on Capitol Hill,
politics_filtered_nov20,NY probes Trump consulting payments that reduced his taxes,
politics_filtered_nov20,"Georgia election official says hand tally of presidential race is complete, the results affirm Biden’s lead over Trump",
conservative_filtered_nov20,Trump To Release “Clear Path To Victory” Today At High Noon!,
politics_filtered_nov20,Tucker Carlson bashes Trump attorney Sidney Powell for lack of evidence in fraud claims: ‘She never sent us any’,
politics_filtered_nov21,‘Do they just not care?’ Miami immigrants troubled by surge of Latino support for Trump,
politics_filtered_nov21,It’s time for everyone to pick a side: America or President Trump,
conservative_filtered_nov20,"Georgia certifies election results, making Biden win official",
politics_filtered_nov21,Twitter says it’s handing @POTUS account over to Joe Biden on Inauguration Day,
politics_filtered_nov19,Non-Giuliani Trump Attorneys Admit Trump’s Claims of Election Fraud Are Bullshit,
conservative_filtered_nov19,AZ GOP Chair Dr. Kelli Ward Confident Election ‘Will Ultimately Be Decided in Favor of President Donald J. Trump’,
politics_filtered_nov21,Most Republicans greet Trump’s push to overturn the election with a customary response: Silence,
politics_filtered_nov20,Trump's Stupid Coup—Which Hasn't Failed Yet—Is Distracting Us From What Needs to Be Done,
conservative_filtered_nov21,"Obama to produce Netflix series about Trump transition, unclear whether it will include abusing intel agencies to spy on successor",
conservative_filtered_nov20,Georgia Secretary of State Certifies Biden’s Win After Audit,
politics_filtered_nov21,"GOP Sen. Blackburn Calls Biden President-Elect, but Later Takes it Back",
politics_filtered_nov20,Donald Trump Is Endangering America's National Security for His Ego,
conservative_filtered_nov19,"3rd monitor, a Democrat: ""Hundreds of these ballots seemed impeccable, with no folds or creases. The bubble selections were perfectly made ... only observed selections in black ink, and all happened to be selections for Biden.""",
conservative_filtered_nov19,"In Nevada, A Corrupt Cash-For-Votes Scheme Is Hiding In Plain Sight -- In tribal areas, Native American nonprofits illegally offered gift cards, electronics, and other 'prizes' in an effort to get out the vote—for Joe Biden.",
conservative_filtered_nov19,"Georgia Republican Poll Watcher Discovered Recount Error Off By More Than 9,000 Votes Wrongly Given To Biden",
politics_filtered_nov20,Trump objects to counting thousands of Wisconsin ballots,
politics_filtered_nov21,Pete Buttigieg May Be Contender For Biden’s Cabinet | NBC News NOW,
conservative_filtered_nov19,"Sidney Powell: Absent software fraud, Trump 'had at least 80 million votes'",
politics_filtered_nov19,Here’s a Timeline of the Presidential Certification Process That Trump Is Trying to Disrupt,
politics_filtered_nov21,"Wall Street Journal Bails on Trump’s ‘Conspiracy Theory,’ Says Giuliani is Not a ‘Serious Practicing Attorney",
conservative_filtered_nov20,Joe Biden stays silent over proposed meeting with BLM founder,
conservative_filtered_nov20,Joe Biden Holds Lead in Georgia After Hand Recount,
politics_filtered_nov21,Georgia governor certifies presidential electors for Biden,
politics_filtered_nov21,Georgia certifies that Joe Biden won the recount,
conservative_filtered_nov20,"After Insulting Trump Voters For Years, NYT Writer Complains Reaching Out To Them Is A 'Waste Of Time'",
politics_filtered_nov20,Biden calls Trump ‘most irresponsible president in American history’,
politics_filtered_nov21,Trump Is No Longer the Problem. His Army of Followers Is.,
conservative_filtered_nov21,"How Christianity Gained Cultural Momentum In The Trump Era -- Some celebrities are not just talking the talk, but they seem to be walking a walk that seems to counter what Hollywood culture promotes and accepts.",
politics_filtered_nov21,Trump Is Staging a Comically Incompetent Coup — It would almost be possible to laugh at this debacle if the stakes weren’t so serious.,
politics_filtered_nov21,"Most GOP Senators Stay Mum on Trump's Efforts to Challenge Election, After Washington Post Contacted All 53 of Them",
politics_filtered_nov21,"Biden will receive @POTUS Twitter account on Jan. 20 even if Trump doesn't concede, company says",
politics_filtered_nov19,'Integrity still matters': the unlikely Republican standing up to Trump's voter fraud lies,
conservative_filtered_nov20,National Democratic Party official suggests re-education for Trump supporters: 'How do you deprogram 75 million people?',
politics_filtered_nov21,'Call His Bluff': Edward Norton's Viral Message On Trump,
politics_filtered_nov21,"Trump attacks big Pharma, announces programs to lower drug prices",
politics_filtered_nov20,Biden campaign sees no legal basis for overturning Michigan result,
politics_filtered_nov20,Democrats send letter to GSA head Emily Murphy demanding to know why the Biden-Harris transition has not begun,
conservative_filtered_nov21,Bigot: Joe Biden Lackey Wanted to Destroy Amy Coney Barrett Because She's Catholic,
politics_filtered_nov20,"Georgia recount complete, and Biden is still the winner",
politics_filtered_nov21,Republican Senator Lamar Alexander urges Trump to begin Biden transition,
politics_filtered_nov21,Biden team solicits donations to fund presidential transition as Trump administration blocks federal money,
politics_filtered_nov20,Donald Trump resigning is the most logical way his presidency could end,
politics_filtered_nov21,Republican leaders swore an oath to defend the Constitution. That means telling Trump it’s over.,
conservative_filtered_nov21,"BLM, Squad members pushing Dems, Biden to abolish prison",
politics_filtered_nov21,"Battered by failures to reverse Biden win, Trump, allies persist with fraud claims",
conservative_filtered_nov19,Donald Trump Called to Support Michigan Canvassing Board Members After Threats,
politics_filtered_nov20,Trump digs deeper into debunked conspiracy theories instead of embracing reality,
politics_filtered_nov21,Senator Shirkey and Speaker Chatifeld’s names projected on Trump International Hotel,
conservative_filtered_nov20,"Lin Wood Savagely Schools Fox News' Dana Perino, Who Suggested Dominion Should Sue Trump's Legal Team",
politics_filtered_nov20,Trump accuses Pfizer and Moderna of working to stop his re-election,
politics_filtered_nov21,Biden could announce Cabinet picks as soon as next week,
politics_filtered_nov19,"Second stimulus check: GOP will move forward with stimulus once Trump exits, Biden says",
politics_filtered_nov20,I Grew Up Surrounded By Religious Fanatics. Here's What I Know About Trump Supporters.,
politics_filtered_nov21,"GOP asks Michigan not to certify election results, citing ‘irregularities’ | The move follows speculation that Trump is seeking to persuade Michigan Republicans to override election results",
politics_filtered_nov20,GA secretary of state: I'm a proud Trump supporter but numbers don't lie,
politics_filtered_nov21,Republican Resistance Looms in the Senate for Biden’s Nominees,
politics_filtered_nov21,"Biden is considering making Merrick Garland, denied Supreme Court seat, the attorney general",
conservative_filtered_nov21,Ben Carson credits Trump's action after becoming 'desperately ill' with COVID: 'Saved my life',
politics_filtered_nov21,"Trump campaign ""seeking to disenfranchise Black voters"" with election fraud claims: lawsuit",
politics_filtered_nov21,"A group of Michigan voters are suing the Trump campaign for disenfranchising Black voters, lawsuit alleges",
conservative_filtered_nov19,Sidney Powell: Trump Won in a Landslide and We're Going to Prove It,
politics_filtered_nov21,Twitter says it will give @POTUS account to Biden on Inauguration Day,
politics_filtered_nov20,"Obama says all Americans ‘should be troubled’ by Trump’s efforts to subvert democracy. ‘I’m less surprised by Donald Trump doing this, he has shown, you know, only a flimsy relationship with the truth,' says Obama",
politics_filtered_nov21,"Trump’s monumental sulk: president retreats from public eye as Covid ravages US | Two weeks after his defeat, Trump has gone from always present to effectively missing, behavior that many say is an unprecedented and dangerous",
politics_filtered_nov20,Latinas for Trump founder unseated Florida Democrat after ‘shadow candidate’ with his surname entered the race,
politics_filtered_nov19,New Delays In Final Stage Of Census Could Foil Trump’s Plan To Rig It,
conservative_filtered_nov21,Joe Biden loses it at reporter who asked about kids going back to classrooms - then tells press to leave,
politics_filtered_nov19,Federal judge releases audio of hearing in Trump campaign's Pennsylvania lawsuit,
politics_filtered_nov21,Twitter to Meet With Biden Transition Team on Transfer of Social Media Accounts From Trump Admin,
politics_filtered_nov20,‘Exhibit Q’: Lawyer Lin Wood Submits that Michigan Is Really Minnesota in Failed Pro-Trump Election Affidavit,
